2018-01-25 00:45:49 status unpacked mysql-client-5.7:amd64 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:49 install mysql-server-core-5.7:amd64 <none> 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:49 status half-installed mysql-server-core-5.7:amd64 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:50 status unpacked mysql-server-core-5.7:amd64 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:50 status unpacked mysql-server-core-5.7:amd64 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:50 install libevent-core-2.0-5:amd64 <none> 2.0.21-stable-2ubuntu0.16.04.1
2018-01-25 00:45:50 status half-installed libevent-core-2.0-5:amd64 2.0.21-stable-2ubuntu0.16.04.1
2018-01-25 00:45:50 status unpacked libevent-core-2.0-5:amd64 2.0.21-stable-2ubuntu0.16.04.1
2018-01-25 00:45:50 status unpacked libevent-core-2.0-5:amd64 2.0.21-stable-2ubuntu0.16.04.1
2018-01-25 00:45:50 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-01-25 00:45:50 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-01-25 00:45:51 status installed libc-bin:amd64 2.23-0ubuntu10
2018-01-25 00:45:51 trigproc man-db:amd64 2.7.5-1 <none>
2018-01-25 00:45:51 status half-configured man-db:amd64 2.7.5-1
2018-01-25 00:45:51 status installed man-db:amd64 2.7.5-1
2018-01-25 00:45:51 startup packages configure
2018-01-25 00:45:51 configure mysql-common:all 5.7.21-0ubuntu0.16.04.1 <none>
2018-01-25 00:45:51 status unpacked mysql-common:all 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:51 status unpacked mysql-common:all 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:51 status unpacked mysql-common:all 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:51 status unpacked mysql-common:all 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:51 status half-configured mysql-common:all 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:51 status installed mysql-common:all 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:51 startup archives unpack
2018-01-25 00:45:51 install mysql-server-5.7:amd64 <none> 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:51 status half-installed mysql-server-5.7:amd64 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:52 status triggers-pending systemd:amd64 229-4ubuntu21
2018-01-25 00:45:52 status triggers-pending ureadahead:amd64 0.100.0-19
2018-01-25 00:45:52 status triggers-pending ureadahead:amd64 0.100.0-19
2018-01-25 00:45:53 status triggers-pending man-db:amd64 2.7.5-1
2018-01-25 00:45:53 status unpacked mysql-server-5.7:amd64 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:53 status unpacked mysql-server-5.7:amd64 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:53 install libjbig0:amd64 <none> 2.1-3.1
2018-01-25 00:45:53 status half-installed libjbig0:amd64 2.1-3.1
2018-01-25 00:45:53 status unpacked libjbig0:amd64 2.1-3.1
2018-01-25 00:45:53 status unpacked libjbig0:amd64 2.1-3.1
2018-01-25 00:45:53 install fonts-dejavu-core:all <none> 2.35-1
2018-01-25 00:45:53 status half-installed fonts-dejavu-core:all 2.35-1
2018-01-25 00:45:53 status unpacked fonts-dejavu-core:all 2.35-1
2018-01-25 00:45:53 status unpacked fonts-dejavu-core:all 2.35-1
2018-01-25 00:45:53 install fontconfig-config:all <none> 2.11.94-0ubuntu1.1
2018-01-25 00:45:53 status half-installed fontconfig-config:all 2.11.94-0ubuntu1.1
2018-01-25 00:45:53 status unpacked fontconfig-config:all 2.11.94-0ubuntu1.1
2018-01-25 00:45:53 status unpacked fontconfig-config:all 2.11.94-0ubuntu1.1
2018-01-25 00:45:53 install libboost-system1.58.0:amd64 <none> 1.58.0+dfsg-5ubuntu3.1
2018-01-25 00:45:53 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-01-25 00:45:53 status half-installed libboost-system1.58.0:amd64 1.58.0+dfsg-5ubuntu3.1
2018-01-25 00:45:53 status unpacked libboost-system1.58.0:amd64 1.58.0+dfsg-5ubuntu3.1
